Var1,Var2,Var3,Var4
34DHXMANDACOX_NADP_,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",-1000,0.0231419999975679
34HPLFM,"3- (4-Hydroxyphenyl-)Lactate Formation",0,0.0231420000000696
34HPPOR,"4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase",0,0.0231419999975628
35CGMPtn,"35CGMP Nuclear Transport",0,1000
3AIBTm,"L-3-Aminoisobutyrate Transaminase, Mitochondrial",0,158.660334594165
3AIBtmi,"3-Amino-Isobutyrate Transport, Mitochondrial",0,158.660334594165
3DPHBH1,"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH)",0,0.0231420000001486
3DPHBH2,"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH)",0,0.0231420000009166
3DSPHR,"3-Dehydrosphinganine Reductase",0,393.109702849222
3HAO,"3-Hydroxyanthranilate 3, 4-Dioxygenase",0,0.0119699999998828
3HBCDm,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",0,0
3HBCOAHLm,"3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",0,0.0452200000022458
3HKYNAKGAT,"3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase",0,1000
3HLYTCL,"3-Hydroxy-L-Tyrosine Carboxy-Lyase",0,0.0231419999999139
3HPCOAHYD,"3-Hydroxyisobutyryl-Coenzyme A Hydrolase",0,0
3HPPD,"3-Hydroxypropionate Dehydrogenase",0,0
3HXKYNDCL,"3-Hydroxykynurenamine Decarboxy-Lyase",0,0
3HXKYNOXDA,"3-Hydroxykynurenamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0,0
3M4HDXPAC,"3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase",0,0.0231420000000696
3MLDAt,"3Mlda Extracellular Transport via Diffusion",0,0.0172900000000351
3MOBt2im,"3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport",0,1000
3MOPt2im,"3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport",0,1000
3MOX4HOXPGALDOX,"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase",0,1000
3MOX4HOXPGALDOX_NADP_,"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase",-1000,0.0231420000001486
3MOXTYROX,"3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating)",0,0.0231420000000696
3NTD7l,"3'-Nucleotidase (AMP), Lysosomal",0,0
3SALAASPm,"Cysteinesulfinate-Aspartate Mitochondrial Shuttle",-1000,0
3SALACBOXL,"3-Sulfino-L-Alanine Carboxy-Lyase",0,0.00824600000006321
3SALAOX,"Cysteinesulfinic Acid Oxidase",0,0.00412300000005795
3SALATAi,"3-Sulfino-Alanine Transaminase (Irreversible)",0,0.00824600000009923
3SALATAim,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",0,0.00824599999812677
3SPYRSP,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)",0,0.00824600000009923
3SPYRSPm,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial",0,0.00824599999812677
41R1H2MAE12BOOX,"4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0,0.023141999997432
41R2A1H12BOOX,"4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0,0.0231420000002054
42A12BOOX,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0,0.0231420000001486
4ABUTtm,"4-Aminobutanoate Mitochondrial Transport via Diffusion",-169.35623604215,565.524656373665
4HBZCOAFm,"4-Hydroxybenzoyl Coenzyme A Formation",0,0.0231420000000169
4HBZFm,"4-Hydroxybenzoate Formation",0,0.0231420000000169
4HDEBRISOQUINEte,"Transport of Xenobiotic",0,0
4HGLSDm,"L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial",0,1000
4HOXPACDOX_NADP_,"4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase",-1000,0.0231420000000737
4MOPt2im,"4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport",0,1000
4MPTNLte,"4-Methylpentanal Transport",0,110.302608557911
4MPTNLtm,"4-Methylpentanal Transport, Mitochondrial",-110.302608557909,0
4MPTNLtr,"4-Methylpentanal Transport, Endoplasmatic Reticulum",0,0
4MTOLBUTAMIDEte,"Transport of Xenobiotic",0,0
4NPHSFte,"Transport of Xenobiotic",0,0
4NPHSULT,"4-Nitrophenol Sulfotransferase",0,0
4NPHte,"Transport of Xenobiotic",0,0
4PYRDX,"4-Pyridoxal Secretion",0,0
5ADTSTSTERONEGLCte,"Glucuronidated Compound Transport",0,76.4745005976593
5ADTSTSTERONEGLCtr,"Glucuronidated Compound Transport",-76.4745005976593,0
5ADTSTSTERONESte,"Sulfonated Testosterone Transport",0,0.00957599999816521
5ADTSTSTERONESULT,"5Alpha-Dihydrotestosterone Sulfotransferase",0,580.33714638208
5ADTSTSTERONEte,"5 Alpha Dihydrotesterone Transport",-102.567303032909,0
5ADTSTSTERONEtr,"5 Alpha Dihydrotesterone Intracellular Transport",-76.4745005976598,102.567365461084
5AOPtm,"5-Aminolevulinate Mitochondrial Transport",-312.671244196391,0
5DHFtl,"5-Glutamyl-Dhf Transport, Lysosomal",0,250
5FTHFt2,"5-Formyltetrahydrofolate Transport via Anion Exchange",0,0
5HLTDL,"5-Hydroxy-L-Tryptophan Decarboxy-Lyase",0,0.0119700000001899
5HOMEPRAZOLEte,"Transport of Xenobiotic",0,0
5HOXINDACTO2OX,"5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase",0,1000
5HOXINDACTOXm,"5-Hydroxyindoleacetaldehyde:NAD+ Oxidoreductase, Mitochondrial",0,0
5HOXINOXDA,"5-Hydroxytryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0,0.0119700000000702
5HTRPDOX,"5-Hydroxy-L-Tryptophan:Oxygen 2, 3-Dioxygenase (Indole-Decyclizing)",0,0
5HTRPVESSEC,"5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven)",0,0.0119700000003512
5HXKYNDCL,"5-Hydroxykynurenamine Decarboxy-Lyase",0,0
5HXKYNOXDA,"5-Hydroxykynurenamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0,0
5MTHFt,"5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis",-1000,1000
5MTHFt2,"5-Methyltetrahydrofolate Transport via Anion Exchange",-1000,1000
5THFtl,"5-Glutamyl-Thf Transport, Lysosomal",0,250
5THFtm,"5-Glutamyl-Thf Transport, M Mitochondrial",0,385.027529235716
6DHFtl,"6-Glutamyl-Dhf Transport, Lysosomal",0,200
6DHFtm,"6-Glutamyl-Dhf Transport, M Mitochondrial",0,200
6HTSTSTERONEte,"Hydroxylated Testosterone Transport",0,99.800672573725
6HTSTSTERONEtr,"Hydroxylated Testosterone Transport",-99.8006725737278,0
6THFtl,"6-Glutamyl-Thf Transport, Lysosomal",0,200
6THFtm,"6-Glutamyl-Thf Transport, M Mitochondrial",0,315.47249410691
7DHCHSTEROLtr,"Cholesterol Precursor Intracellular Transport",-69.9985234213277,69.998523421328
7DHFtl,"7-Glutamyl-Dhf Transport, Lysosomal",0,166.666666666667
7DHFtm,"7-Glutamyl-Dhf Transport, M Mitochondrial",0,166.666666666667
7THFtl,"7-Glutamyl-Thf Transport, Lysosomal",0,166.666666666667
7THFtm,"7-Glutamyl-Thf Transport, M Mitochondrial",0,269.102470687707
A_MANASE,"Alpha-Mannosidase",0,0
A_MANASEly,"Alpha-Mannosidase, Lysosomal",0,125
A4GALTc,"Lactosylceramide 4-Alpha-Galactosyltransferase",0,1000
A4GALTg,"Lactosylceramide 4-Alpha-Galactosyltransferase",0,250
A4GNT1g,"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,0
A4GNT2g,"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,0
AACTOOR,"Aminoacetone:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0,906.165382065635
AACTtm,"Aminoacetone Transport, Mitochondrial",0,906.165382065637
AASAD3m,"L-Aminoadipate-Semialdehyde Dehydrogenase (NADH), Mitochondrial",0,0.0308560000000632
AATAi,"2-Aminoadipate Transaminase, Irreversible",-1000,0.0308560000004263
ABO1g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,32.8838327100161
ABO2g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,33.0200348024597
ABO3g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,35.7300523968511
ABO4g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,26.3983917828685
ABO5g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,26.3983917828685
ABO6g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,22.0411385569738
ABO7g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,22.0411385569738
ABO8g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,28.7653224652643
ABO9g,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0,21.0888252543562
ABTArm,"4-Aminobutyrate Transaminase, Reversible, Mitochondrial",-169.35623604215,565.524656373665
ABTD,"L-Arabinitol 4-Dehydrogenase",-303.478230031971,0
ABTti,"L-Arabinitol Transport via Passive Diffusion",0,303.478230031973
ABUTt2rL,"4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal",-146.389062048823,0
ABUTt4_2_r,"4-Aminobutyrate Reversible Transport in via Sodium Symport (1:2)",-1000,1000
ACACT10m,"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial",-627.689827738062,0.0212799999993649
ACACT1rm,"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial",0,1000
ACACT1x,"Acetyl Coenzyme A C-Acetyltransferase",0,1000
ACACt2m,"Acetoacetate Mitochondrial Transport via H+ Symport",-1000,1000
ACACT4p,"Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal",0,547.698461896439
ACACT5p,"Acetyl Coenzyme A C-Acyltransferase (Decanoyl Coenzyme A), Peroxisomal",0,547.698461896438
ACACT6p,"Acetyl Coenzyme A C-Acetyltransferase (Dodecanoyl), Peroxisomal",0,547.698461896438
ACACT7p,"Acetyl Coenzyme A Acyltransferase (Tetradecanoyl Coenzyme A), Peroxisomal",0,547.69846189644
ACACT8p,"Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal",0,1000
ACACT9p,"Acetyl Coenzyme A Acyltransferase (Tetracosanoyl Coenzyme A), Peroxisomal",0,1000
ACACtx,"Acetoacetate Intracellular Transport Unknown Mechanism",-1000,0
ACALDtm,"Acetaldehyde Mitochondrial Diffusion",-1000,0
ACALDtr,"Acetaldehyde Reversible Transport, Endoplasmatic Reticulum",0,104.177904985618
ACALDtx,"Acetaldehyde Peroxisomal Diffusion",0,0
ACCOACm,"Acetyl Coenzyme A Carboxylase, Beta Isoform",0,1000
ACCOAgt,"Acetyl Coenzyme A Transport",0,44.2151235352538
ACCOALm,"Acetate Coenzyme A Ligase (AMP-Forming)",0,1000
ACCOAtn,"Acetyl Coenzyme A Transport, Nuclear",-1000,1000
ACCOAtr,"Acetyl Coenzyme A Transport",-1000,1000
ACETONEt2,"Acetone Transport via Proton Symport",-649.290267304563,1000
ACETONEt2m,"Acetone Mitochondrial Transport via Proton Symport",-649.290267304563,1000
ACGAGBSIDEtg,"Acgagbside Hs Intracellular Transport",-166.666666666667,0
ACGAGBSIDEtl,"Acgagbside Hs Intracellular Transport",0,166.666666666667
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,"Blood Group Intracellular Transport",-29.7245202086489,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,"Blood Group Intracellular Transport",0,26.3983917828685
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,"Blood Group Intracellular Transport",-25.1219044676583,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,"Blood Group Intracellular Transport",0,22.0411385569738
ACGALK,"N-Acetylgalactosamine Kinase",0,1000
ACGALK2,"N-Acetylgalactosamine Kinase (ITP)",0,1000
ACGALtlg,"N-Acetyl-Galactosamine Intracellular Transport",-250,0
ACGALtly,"N-Acetyl-Galactosamine Lysosomal Efflux",0,580.344817392177
ACGAM6PSi,"N-Acetylglucosamine-6-Phosphate Synthase",0,1000
ACGAMK,"N-Acetylglucosamine Kinase",0,1000
ACGAMPM,"Phosphoacetylglucosamine Mutase",0,1000
ACGAMtly,"N-Acetyl-Glucosamine Lysosomal Efflux",0,1000
ACGBGBSIDEtg,"Acgbgbside Hs Intracellular Transport",-250,0
ACGBGBSIDEtl,"Acgbgbside Hs Intracellular Transport",0,250
ACGPID,"N-Acetylglucosaminylphosphatidylinositol Deacetylase",0,0
ACGSm,"N-Acteylglutamate Synthase, Mitochondrial",0,160.722737488364
ACHEe,"Acetylcholinesterase",0,1000
ACHtn,"Acetylcholin Transport, Nuclear through Pores",-1000,1000
ACHVESSEC,"Acetylcholine Secretion via Secretory Vesicle (ATP Driven)",0,1000
ACITL,"ATP-Citrate Lyase",0,1000
ACN13ACNGALGBSIDEte,"Acn13Acngalgbside Hs Transport",0,30.8558955198499
ACN13ACNGALGBSIDEtg,"Acn13Acngalgbside Hs Intracellular Transport",-30.85589551985,0
ACN23ACNGALGBSIDEte,"Acn23Acngalgbside Transport",0,30.8558955198499
ACN23ACNGALGBSIDEtg,"Acn23Acngalgbside Intracellular Transport",-30.85589551985,0
ACNACNGAL14ACGLCGALGLUSIDEte,"Blood Group Intracellular Transport",-34.3318403374644,0
ACNACNGAL14ACGLCGALGLUSIDEtg,"Blood Group Intracellular Transport",0,32.9446897516041
ACNACNGALGBSIDEte,"Acnacngalgbside Hs Transport",0,30.8558955198498
ACNACNGALGBSIDEtg,"Acnacngalgbside Hs Intracellular Transport",-30.85589551985,0
ACNAM9PL,"N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)",0,580.337146382076
ACNAM9PL2,"N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)",0,270.352335628471
ACNAMlt,"N-Acetylneuraminate Transport into Lysososme",-296.727889535406,0
ACNAMPH,"N-Acetylneuraminate 9-Phosphate Phosphohydrolase",0,580.337146382076
ACNAMtn,"N-Acetylneuraminate Nuclear Import",0,1000
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,"Blood Group Intracellular Transport",-32.7812646665203,0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,"Blood Group Intracellular Transport",0,30.1628506452757
ACNMLr,"N-Acetylneuraminate Lyase (Reversible)",-158.516493681141,580.337146382074
ACOAD10m,"Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial",0,0.021280000001525
ACOAD1fm,"Acyl Coenzyme A Dehydrogenase (Butanoyl Coenzyme A), Mitochondrial",0,315.392678423803
ACOAD8m,"Acyl Coenzyme A Dehydrogenase (Isovaleryl Coenzyme A), Mitochondrial",0,0.0917700000027245
ACOAD9m,"Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial",0,0.0452200000022458
ACOAHi,"Acetyl Coenzyme A Hydrolase",0,1000
ACOAO7p,"Acyl Coenzyme A Oxidase (Hexadecanoyl Coenzyme A), Peroxisomal",0,1000
ACODA,"Acetylornithine Deacetylase",0,0
ACONTm,"Aconitate Hydratase",-1000,1000
ACOX22x,"Acyl-Coenzyme A Oxidase 2, Branched Chain",0,1000
ACOX2x,"Acyl-Coenzyme A Oxidase 2, Branched Chain",0,93.8884310888844
ACP1_FMN_,"Acid Phosphatase (FMN)",0,1000
ACRNtm,"O-Acetylcarnintine Transport into Mitochondria via Diffusion",0,1000
ACS2,"Acetyl Coenzyme A Synthase (Propionate)",0,1000
ACSm,"Acetyl Coenzyme A Synthetase",0,1000
ACSOMT,"S-Adenosyl-L-Methionine:N-Acetylserotonin O-Methyltransferase",0,0
ACSRTNMT,"S-Adenosyl-L-Homocysteine:N-Acetylserotonin O-Methyltransferase",0,0.0119699999999658
ACt2m,"Acetate Mitochondrial Transport via Proton Symport",-1000,1000
ACt2r,"Acetate Reversible Transport via Proton Symport",-1000,1000
ACtg,"Acetate Transport, Golgi Apparatus",-52.515601882623,0
ACTLMO,"Acetol Monooxygenase",0,1000
ACTNMO,"Acetone Monooxygenase",0,565.513613002042
ADA,"Adenosine Deaminase",0,605.592385177455
ADAe,"Adenosine Deaminase, Extracellular",0,605.592385177445
ADCim,"Acetoacetate Decarboxylation (Irreversible), Mitochondrial",0,649.290267304564
ADEt,"Adenine Reversible Transport, Cytosol",-126.144538379092,99.6076227988264
ADEtl,"Adenine Faciliated Transport from Lysosome",0,0
ADHAPtx,"Intracellular Transport, Peroxisomal",0,537.831955502754
ADK1m,"Adenylate Kinase, Mitochondrial",-1000,1000
ADK3,"Adentylate Kinase (GTP)",-1000,1000
ADK3m,"Adentylate Kinase (GTP)",-1000,1000
ADKd,"Adenylate Kinase (D Form)",-1000,1000
ADMDC,"Adenosylmethionine Decarboxylase",0,225.997430260727
ADNCYC,"Adenylate Cyclase",0,1000
ADNK1m,"Adenosine Kinase, Mitochondrial",0,1000
ADNt,"Adenosine Faciliated Transport in Cytosol",-1000,1000
ADNt4,"Adenosine Transport (Na/Adn Symport)",0,1000
ADNtl,"Adenosine Faciliated Transport from Lysosome",0,1000
ADNtm,"Adenosine Faciliated Transport in Mitochondria",-1000,1000
ADPGLC,"ADPglucose Diphosphatase",0,0
ADPMAN,"ADPmannose Diphosphatase",0,0
ADPRDPm,"ADPribose Diphosphatase, Mitochondrial",0,0
ADPRIBt,"ADPribose Transport",0,1000
ADPtx,"ADP Transporter, Peroxisomal",-1000,1000
ADRNCOAtx,"Fatty Acid Intracellular Transport",-4.20321232042463,1000
ADRNCPT1,"Carnitine O-Palmitoyltransferase",0,153.50845443764
ADRNCPT2,"Carnitine Transferase",0,153.508454437642
ADRNCRNt,"Transport into the Mitochondria (Carnitine)",0,1000
ADRNLPVESSEC,"Adrenaline Secretion via Secretory Vesicle (ATP Driven)",0,1000
ADRNt,"Fatty Acid Transport via Diffusion",-1000,1000
ADSELK,"Adenylyl-Selenate Kinase",0,0
ADSK,"Adenylyl-Sulfate Kinase",0,1000
ADSL1,"Adenylosuccinate Lyase",0,1000
ADSL2,"Adenylosuccinate Lyase",0,38.4927605795184
AFLATOXINte,"Transport of Xenobiotic",0,0
AG13T10g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T11g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T12g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T13g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T14g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T15g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T16g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,37.6021230519881
AG13T17g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,37.6021230519881
AG13T18g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,37.6021230519881
AG13T1g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,40.3370269368018
AG13T2g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,40.3370269368018
AG13T3g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,40.3370269368018
AG13T4g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T5g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T6g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T7g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T8g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AG13T9g,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0,11.1489438355151
AGLPC,"Alkyl Acylglycerol Phosphocholine Transferase",0,64.7232165949616
AGLPED,"Alkyl Acyl Glycerophosphoethanolamine Desaturase",0,0
AGLPET,"Alkyl Acylglycerol Phosphoethanolamine Transferase",0,0
AGLPH,"Alkyl Glycerol Phosphate Hydrolase",0,64.7232165949616
AGLPR,"Alkyl Glycerol Phosphate Reductase",0,0
AGLPT,"Alkyl Glycerol Phosphate Acyltransferase",0,64.7232165949609
AGMTm,"Agmatinase, Mitochondrial",0,73.5142576377443
AGPAT1,"1-Acylglycerol-3-Phosphate O-Acyltransferase 1",0,451.452320574069
AGPex,"Alkyl Glycerol Phosphate Transport",0,0
AGPRim,"N-Acetyl-G-Glutamyl-Phosphate Reductase, Irreversible, Mitochondrial",0,0
AGPSx,"Alkylglycerone Phosphate Synthase",0,0
AGTim,"Alanine-Glyoxylate Transaminase (Irreversible), Mitochondrial",0,1000
AGTix,"Alanine-Glyoxylate Transaminase (Irreversible),, Peroxisomal",0,1000
AHANDROSTANGLCte,"Glucuronidated Compound Transport",0,0
AHANDROSTANGLCtr,"Glucuronidated Compound Transport",0,0
AHCYStn,"S-Adenosyl-L-Homocysteine Nuclear Transport",0,0
AHCYStr,"S-Adenosyl-L-Homocysteine Intracellular Diffusion",-1000,0
AHEXASE2ly,"Beta-N-Acetylhexosaminidase, Lysosomal",0,125
AHEXASEly,"Beta-N-Acetylhexosaminidase, Lysosomal",0,90.9090909090909
